Location,Profile_Type,Field_Type,Distance,Circuit_ID,Field_Value,Temperature,Humidity
Ibri-Ibri City,Longitudinal,E,190.0,1,1.2204,31.6,23.7
Ibri-Ibri City,Longitudinal,E,190.0,2,1.621,31.6,23.7
Ibri-Ibri City,Longitudinal,E,150.0,1,3.3445,31.6,23.7
Ibri-Ibri City,Longitudinal,E,150.0,2,3.2013,31.6,23.7
Ibri-Ibri City,Longitudinal,E,110.0,1,4.0934,31.6,23.7
Ibri-Ibri City,Longitudinal,E,110.0,2,3.8634,31.6,23.7
Ibri-Ibri City,Longitudinal,E,70.0,1,5.8105,31.6,23.7
Ibri-Ibri City,Longitudinal,E,70.0,2,5.6402,31.6,23.7
Ibri-Ibri City,Longitudinal,E,30.0,1,6.4335,31.6,23.7
Ibri-Ibri City,Longitudinal,E,30.0,2,6.2751,31.6,23.7
Ibri-Ibri City,Longitudinal,E,10.0,1,9.0318,31.6,23.7
Ibri-Ibri City,Longitudinal,E,10.0,2,7.6283,31.6,23.7
Ibri-Ibri City,Longitudinal,E,0.0,1,7.1744,31.6,23.7
Ibri-Ibri City,Longitudinal,E,0.0,2,7.1554,31.6,23.7
Ibri-Ibri City,Longitudinal,E,10.0,1,7.6789,31.6,23.7
Ibri-Ibri City,Longitudinal,E,10.0,2,7.6622,31.6,23.7
Ibri-Ibri City,Longitudinal,E,30.0,1,9.2162,31.6,23.7
Ibri-Ibri City,Longitudinal,E,30.0,2,9.0135,31.6,23.7
Ibri-Ibri City,Longitudinal,E,70.0,1,6.0825,31.6,23.7
Ibri-Ibri City,Longitudinal,E,70.0,2,4.4862,31.6,23.7
Ibri-Ibri City,Longitudinal,E,110.0,1,3.7708,31.6,23.7
Ibri-Ibri City,Longitudinal,E,110.0,2,3.0921,31.6,23.7
Ibri-Ibri City,Longitudinal,E,150.0,1,2.8196,31.6,23.7
Ibri-Ibri City,Longitudinal,E,150.0,2,2.6541,31.6,23.7
Ibri-Ibri City,Longitudinal,E,190.0,1,1.5529,31.6,23.7
Ibri-Ibri City,Longitudinal,E,190.0,2,1.3774,31.6,23.7
Ibri-Ibri City,Lateral,E,50.0,1,0.2326,31.6,23.7
Ibri-Ibri City,Lateral,E,50.0,2,0.2256,31.6,23.7
Ibri-Ibri City,Lateral,E,40.0,1,0.2616,31.6,23.7
Ibri-Ibri City,Lateral,E,40.0,2,0.2495,31.6,23.7
Ibri-Ibri City,Lateral,E,30.0,1,3.6685,31.6,23.7
Ibri-Ibri City,Lateral,E,30.0,2,3.4852,31.6,23.7
Ibri-Ibri City,Lateral,E,20.0,1,6.4316,31.6,23.7
Ibri-Ibri City,Lateral,E,20.0,2,6.1385,31.6,23.7
Ibri-Ibri City,Lateral,E,10.0,1,3.1604,31.6,23.7
Ibri-Ibri City,Lateral,E,10.0,2,3.0151,31.6,23.7
Ibri-Ibri City,Lateral,E,0.0,1,8.2351,31.6,23.7
Ibri-Ibri City,Lateral,E,0.0,2,7.9562,31.6,23.7
Ibri-Ibri City,Lateral,E,10.0,1,3.1064,31.6,23.7
Ibri-Ibri City,Lateral,E,10.0,2,2.8564,31.6,23.7
Ibri-Ibri City,Lateral,E,20.0,1,1.7698,31.6,23.7
Ibri-Ibri City,Lateral,E,20.0,2,1.5891,31.6,23.7
Ibri-Ibri City,Lateral,E,30.0,1,1.819,31.6,23.7
Ibri-Ibri City,Lateral,E,30.0,2,1.7854,31.6,23.7
Ibri-Ibri City,Lateral,E,40.0,1,1.4885,31.6,23.7
Ibri-Ibri City,Lateral,E,40.0,2,1.4236,31.6,23.7
Ibri-Ibri City,Lateral,E,50.0,1,2.414,31.6,23.7
Ibri-Ibri City,Lateral,E,50.0,2,1.3139,31.6,23.7
Ibri-Ibri City,Lateral,H,50.0,1,0.4989,31.6,23.7
Ibri-Ibri City,Lateral,H,50.0,2,0.4886,31.6,23.7
